[ERROR] - 2017-01-11 16:06:05,009 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.insertData - Authentication to host '10.211.55.2' for user 'root' using method 'mysql_native_password' failed with message: Access denied for user 'root'@'windows-7.shared' (using password: YES)
[ERROR] - 2017-01-11 16:06:06,176 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.insertData - Authentication to host '10.211.55.2' for user 'root' using method 'mysql_native_password' failed with message: Access denied for user 'root'@'windows-7.shared' (using password: YES)
[ERROR] - 2017-01-11 16:11:25,163 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.insertData - Authentication to host '192.168.1.100' for user 'root' using method 'mysql_native_password' failed with message: Access denied for user 'root'@'192.168.1.100' (using password: YES)
[ERROR] - 2017-01-11 16:11:25,368 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.insertData - Authentication to host '192.168.1.100' for user 'root' using method 'mysql_native_password' failed with message: Access denied for user 'root'@'192.168.1.100' (using password: YES)
[ERROR] - 2017-01-11 16:11:25,850 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.insertData - Authentication to host '192.168.1.100' for user 'root' using method 'mysql_native_password' failed with message: Access denied for user 'root'@'192.168.1.100' (using password: YES)
[ERROR] - 2017-01-11 16:11:26,263 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.insertData - Authentication to host '192.168.1.100' for user 'root' using method 'mysql_native_password' failed with message: Access denied for user 'root'@'192.168.1.100' (using password: YES)
[ERROR] - 2017-01-11 16:11:29,675 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.insertData - Authentication to host '192.168.1.100' for user 'root' using method 'mysql_native_password' failed with message: Access denied for user 'root'@'192.168.1.100' (using password: YES)
[ERROR] - 2017-01-11 16:11:30,106 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.insertData - Authentication to host '192.168.1.100' for user 'root' using method 'mysql_native_password' failed with message: Access denied for user 'root'@'192.168.1.100' (using password: YES)
[ERROR] - 2017-01-11 16:11:30,595 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.insertData - Authentication to host '192.168.1.100' for user 'root' using method 'mysql_native_password' failed with message: Access denied for user 'root'@'192.168.1.100' (using password: YES)
[ERROR] - 2017-01-11 16:11:30,684 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.insertData - Authentication to host '192.168.1.100' for user 'root' using method 'mysql_native_password' failed with message: Access denied for user 'root'@'192.168.1.100' (using password: YES)
[ERROR] - 2017-01-11 16:11:31,282 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.insertData - Authentication to host '192.168.1.100' for user 'root' using method 'mysql_native_password' failed with message: Access denied for user 'root'@'192.168.1.100' (using password: YES)
[ERROR] - 2017-01-11 16:11:31,796 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.insertData - Authentication to host '192.168.1.100' for user 'root' using method 'mysql_native_password' failed with message: Access denied for user 'root'@'192.168.1.100' (using password: YES)
[ERROR] - 2017-01-11 16:11:32,280 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.insertData - Authentication to host '192.168.1.100' for user 'root' using method 'mysql_native_password' failed with message: Access denied for user 'root'@'192.168.1.100' (using password: YES)
[ERROR] - 2017-01-11 16:11:32,813 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.insertData - Authentication to host '192.168.1.100' for user 'root' using method 'mysql_native_password' failed with message: Access denied for user 'root'@'192.168.1.100' (using password: YES)
[ERROR] - 2017-01-11 16:11:33,435 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.insertData - Authentication to host '192.168.1.100' for user 'root' using method 'mysql_native_password' failed with message: Access denied for user 'root'@'192.168.1.100' (using password: YES)
[ERROR] - 2017-01-11 16:11:33,836 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.insertData - Authentication to host '192.168.1.100' for user 'root' using method 'mysql_native_password' failed with message: Access denied for user 'root'@'192.168.1.100' (using password: YES)
[ERROR] - 2017-01-11 16:11:34,488 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.insertData - Authentication to host '192.168.1.100' for user 'root' using method 'mysql_native_password' failed with message: Access denied for user 'root'@'192.168.1.100' (using password: YES)
[ERROR] - 2017-01-11 16:11:34,987 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.insertData - Authentication to host '192.168.1.100' for user 'root' using method 'mysql_native_password' failed with message: Access denied for user 'root'@'192.168.1.100' (using password: YES)
[ERROR] - 2017-01-11 16:11:35,543 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.insertData - Authentication to host '192.168.1.100' for user 'root' using method 'mysql_native_password' failed with message: Access denied for user 'root'@'192.168.1.100' (using password: YES)
[ERROR] - 2017-01-11 16:11:36,205 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.insertData - Authentication to host '192.168.1.100' for user 'root' using method 'mysql_native_password' failed with message: Access denied for user 'root'@'192.168.1.100' (using password: YES)
[ERROR] - 2017-01-11 21:39:15,576 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.insertData - Host '192.168.1.100' is not allowed to connect to this MySQL server
[ERROR] - 2017-01-11 21:39:15,701 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.insertData - Host '192.168.1.100' is not allowed to connect to this MySQL server
[ERROR] - 2017-01-11 21:39:16,170 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.insertData - Host '192.168.1.100' is not allowed to connect to this MySQL server
